
Raw product moment correlation

AngleAB (deg), Rab, eq, neq, total count
0.0, -1.000,  0.0,  54.0,  54.0
22.5, -0.730,  15.0,  96.0,  111.0
45.0, -0.412,  25.0,  60.0,  85.0
67.5, -0.170,  39.0,  55.0,  94.0
90.0, 0.167,  28.0,  20.0,  48.0
112.5, 0.423,  37.0,  15.0,  52.0
135.0, 0.506,  58.0,  19.0,  77.0
157.5, 0.857,  52.0,  4.0,  56.0
180.0, 1.000,  58.0,  0.0,  58.0
202.5, 0.730,  32.0,  5.0,  37.0
225.0, 0.571,  33.0,  9.0,  42.0
247.5, 0.371,  24.0,  11.0,  35.0
270.0, -0.200,  8.0,  12.0,  20.0
292.5, 0.000,  6.0,  6.0,  12.0
315.0, 0.000,  5.0,  5.0,  10.0
337.5, -0.778,  1.0,  8.0,  9.0
 
