Results of detector B
particle nr, timestamp, detected, detector angle, spin
1, 1372532967666, true, 292.5, 1
2, 1372532967666, true, 112.5, -1
3, 1372532967666, true, 45.0, 1
4, 1372532967666, true, 135.0, -1
5, 1372532967666, true, 225.0, -1
6, 1372532967666, true, 337.5, -1
7, 1372532967666, true, 202.5, -1
8, 1372532967666, true, 67.5, -1
9, 1372532967666, true, 180.0, -1
10, 1372532967666, true, 0.0, 1
11, 1372532967666, true, 0.0, 1
12, 1372532967666, true, 315.0, 1
13, 1372532967666, true, 135.0, -1
14, 1372532967666, true, 180.0, -1
15, 1372532967666, true, 270.0, 1
16, 1372532967666, true, 45.0, 1
17, 1372532967666, true, 157.5, -1
18, 1372532967666, true, 67.5, 1
19, 1372532967666, true, 247.5, 1
20, 1372532967666, true, 135.0, 1
21, 1372532967666, true, 270.0, -1
22, 1372532967666, true, 45.0, 1
23, 1372532967666, true, 247.5, -1
24, 1372532967666, true, 180.0, -1
25, 1372532967666, true, 247.5, 1
26, 1372532967666, true, 270.0, -1
27, 1372532967666, true, 315.0, 1
28, 1372532967666, true, 247.5, -1
29, 1372532967666, true, 225.0, 1
30, 1372532967666, true, 180.0, -1
31, 1372532967666, true, 157.5, -1
32, 1372532967666, true, 270.0, 1
33, 1372532967666, true, 112.5, 1
34, 1372532967666, true, 135.0, -1
35, 1372532967666, true, 337.5, 1
36, 1372532967666, true, 247.5, -1
37, 1372532967666, true, 292.5, 1
38, 1372532967666, true, 45.0, 1
39, 1372532967666, true, 225.0, -1
40, 1372532967666, true, 45.0, 1
41, 1372532967666, true, 135.0, -1
42, 1372532967666, true, 67.5, -1
43, 1372532967666, true, 180.0, -1
44, 1372532967666, true, 0.0, 1
45, 1372532967666, true, 247.5, -1
46, 1372532967666, true, 45.0, 1
47, 1372532967666, true, 225.0, -1
48, 1372532967666, true, 337.5, -1
49, 1372532967666, true, 22.5, 1
50, 1372532967666, true, 270.0, -1
51, 1372532967666, true, 180.0, -1
52, 1372532967666, true, 225.0, 1
53, 1372532967666, true, 135.0, 1
54, 1372532967666, true, 337.5, 1
55, 1372532967666, true, 202.5, -1
56, 1372532967666, true, 157.5, -1
57, 1372532967666, true, 247.5, -1
58, 1372532967666, true, 22.5, 1
59, 1372532967666, true, 315.0, 1
60, 1372532967666, true, 157.5, 1
61, 1372532967666, true, 202.5, -1
62, 1372532967666, true, 45.0, 1
63, 1372532967666, true, 225.0, -1
64, 1372532967666, true, 180.0, -1
65, 1372532967666, true, 67.5, 1
66, 1372532967666, true, 225.0, -1
67, 1372532967666, true, 337.5, 1
